Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,78,2011-04-12 PVM sąskaita faktūra Nr. 0006161,600,Statinio projekto vadovų kvalifikacijos kėlimo seminaras,VšĮ VGTU Kokybės vadybos centras
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,79,2011-04-08 PVM sąskaita faktūra Nr. 110345,2500,Administracinės atsakomybės taikymas už administracinius teisės pažeidimus,"UAB ""Ekonomikos mokymo centras"""
"Kultūros, sporto ir turizmo d-to Turizmo skyrius",13 paslaugų kategorija BVPŽ kodas 79341000-6,80,"2011-04-14 sąskaita faktūra Nr. TOUR SALON UAB ""Ekspobalta""",3400,Vilniaus miesto reklama tarptautinėje turizmo parodoje Poznanėje (Lenkija),"UAB ""Ekspobalta"""
Bendrųjų reikalų departamento Aprūpinimo skyrius,BVPŽ kodas 45454000-4                                                                        ,81,atmesti pasiūlymai,,Pertvarkymo darbai,"AB ""Panevėžio statybos trestas"", UAB ""Aulaukis"", UAB ""GlassWork"""
Antakalnio seniūnija,BVPŽ kodas 09123000-7,82,"2011-05-19 sutartis Nr. A68-8(3.10.23-FN4) AB ""Lietuvos dujos""",8470,Gamtinės dujos,"AB ""Lietuvos dujos"""
Viršuliškių seniūnija,BVPŽ kodas 45261910-6,83,"2011-05-13 sutartis Nr. A62-29(3.10.21-FN4) UAB ""Ekolitas""",19945.46,Seniūnijos pastato stogo remontas,"UAB ""Samuolis"", UAB ""Vilbosta"", UAB ""Ekolitas"", UAB ""Zukra"""
Bendrųjų reikalų departamentas,BVPŽ kodas 45262690-4,84,"2011-07-22 sutartis Nr. A62-68(3.10.21-FN4) UAB ""Tavastis""",42475.24,Katilinės pastato V.A. Graičiūno g. 20 remonto darbai,"UAB ""Tavastis"", UAB ""Statremo"", UAB ""Topdanga"""
Šeškinės seniūnija,BVPŽ kodas 44510000-8,85,nutauktos pirkimo procedūros,,"Įrankiai, higienos ir apsauginės priemonės viešųjų darbų programai vykdyti","AB firma ""Agrotiekimas"""
Komunalinio ūkio d-tas,BVPŽ kodas 45340000-2,86,atmesti pasiūlymai,,Iškiliųjų perėjų su asfaltbetonio danga įrengimas,"UAB ""Lemminkainen Lietuva"", UAB ""Akordas-1"""
Lazdynų seniūnija,BVPŽ kodas 45236290-9,87,"2011-07-28 sutartis Nr. A62-71(3.10.21-FN4) UAB ""OSTAS""","20,000.00",Vaikų žaidimo ir sporto aikštelių remontas,"UAB ""StatVilsta"", UAB ""Ostas"", UAB ""Zirmuva"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,88,2011-04-13 PVM sąskaita faktūra Nr. 110376,725,"Seminaras ""Elektroniniai dokumentai organizacijose: jų apyvarta, archyvavymas, teisinis reglamentavimas","UAB ""Ekonomikos mokymo centras"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,89,2011-04-28 sąskaita faktūra Nr. 0397,300,Praktiniai lietuvių kalbos redagavimo kursai,"Kalbos praktikos centras ""Lingua Lituanica"""
Komunalinio ūkio d-tas ,BVPŽ kodas 45233252-0,90,Nebus perkama,,Šviesoforų įrengimas Savanorių pr. ir Sausupio gatvės sankryžoje,
Pilaitės seniūnija,BVPŽ kodas 45236290-9,91,"2011-06-02 sutartis Nr. A62-42(3.10.21-FN4) UAB ""ADMI'",19900.01,"Vaikų žaidimo aikštelių, sporto aikštelių ir suoliukų remontas","UAB ""Admi"", UAB ""Stelalita"", UAB ""Statvilsta"""
Civilinės saugos ir viešosios tvarkos d-to Civilinės saugos skyrius,BVPŽ kodas 44482100-3,92,nutrauktas pirkimas,,Vidaus gaisrinio vandentiekio gaisro gesinimo žarnų su švikštais ir jų laikymo dėžėmis pirkimas valstybės rezervo sandėliuose Nemenčinėje,
Vilkpėdės seniūnija,BVPŽ kodas 45233200-1,93,"2011-05-20 sutartis Nr. A62-35(3.10.21-FN4) UAB ""Grinda""",18001.17,Asfalto dangos remontas,"UAB ""Grinda"", UAB ""Stebulė"""
Vilkpėdės seniūnija,BVPŽ kodas 45236119-7,94,"2011-08-03 sutartis Nr. A62-76(3.10.21-FN4) UAB ""Avarija""",4195.97,Sporto aikštelių remonto darbai,"UAB ""Aiža"", UAB ""Avarija"", UAB ""Vigbada"""
Vilkpėdės seniūnija,BVPŽ kodas 45262640-9,95,"2011-05-20 sutartis Nr. A62-34(3.10.21-FN4) UAB ""Stebulė""",16000,Šaligatvių ir laiptų remonto darbai,"UAB ""Grinda"", UAB ""Stebulė"""
Komunalinio ūkio d-tas,BVPŽ kodas 45262640-9,96,"2011-06-09 sutartis Nr.A62-46(3.10.21-UK) UAB ""Baltijos pašvaistė""",49503.52,Lukiškių a. suolų remontas,"UAB ""Baltijos pašvaistė"""
Lazdynų seniūnija,BVPŽ kodas 45453100-8,97,"2011-10-04 sutartis Nr. A62-109(3.10.21-FN4) UAB ""Stebulė""",20000,"Seniūnijos teritorijoje esančių laiptų, turėklų, šaligatvių ir suolų remontas","UAB ""Grinda"", UAB ""Kerista"", UAB ""Statvilsta"", UAB ""Stebulė"""
Grigiškių seniūnija,1 palaugų kategorija BVPŽ kodas 50700000-2,98,"2011-06-09 sutartis Nr. A64-61(3.10.22-FN) UAB ""Grigiškių komunalinis ūkis""","7,408.80",Grigiškių seniūnijos patalpų administravimas,"UAB ""Grigiškių komunalinis ūkis"", UAB ""Jurita"", UAB ""Naujininkų ūkis"""
Grigiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,99,2011-05-17 sutartis Nr. A64-38(3.10.22-FN4) Kristina Zenkevič,1790,Bendradarbiavimo 10-mečiui skirtos šventės Grigiškėse organizavimas,"Kristina Zenkevič, Robertas Petkevičius, Danutė Umbrasienė"
Grigiškių seniūnija,16 paslaugų kategorija BVPŽ kodas 90512000-9,100,"2011--05-18 sutartis Nr. A64-42(3.10.22-FN4) UAB ""Atliekų tvarkymo tarnyba""",1493.28,Komunalinių atliekų išvežimas,"UAB ""Atliekų tvarkymo tarnyba"", UAB ""Ecoservice"", UAB ""A.S.A Vilnius"""
Šnipiškių seniūnija,BVPŽ kodas 45233200-1,101,"2011-05-17 sutartis Nr. A62-31(3.10.21-FN4) UAB ""Akordas 1""",19998,Kiemų (įvažiavimų) asfalto dangos darbai,"UAB ""Akordas"", UAB ""Kerista"", UAB ""Grinda"""
Viršuliškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,102,"2011-06-17 sutartis Nr. A64-70(3.10.22-FN4) UAB ""Socialinis institutas""",9999,"Viršuliškių bendruomenės švenčių, spektaklių ir sporto renginių organizavimas","VšĮ ""Nepriklausomi projektai"", UAB ""Socialinis institutas"", Reginos Leonienės individuali įmonė"
Grigiškių seniūnija,17 paslaugų kategorija BVPŽ kodas 55270000-3,103,2011.05.18 sutartis Nr. A64-41(3.10.22-FN4) Boleslav Leščinskij,2688,Svečių apgyvendinimas ir maitinimas,"Boleslav Leščinskij, VšĮ ""Vilnvarsa"""
Šnipiškių seniūnija,BVPŽ kodas 45236290-9,104,"2011-06-30 sutartis Nr. A62-65(3.10.21-FN4) UAB ""Statvilsta""",8329.04,Vaikų žaidimo ir sporto aikštelių remontas,"UAB ""StatVilsta"", UAB ""Stebulė"", UAB ""Aiža"""
Senamiesčio seniūnija,BVPŽ kodas 45236290-9,105,"2011-05-06 sutartis Nr. 62-28(3.10.21-FN4) UAB ""Alzeta""",12402.06,Poilsio zonų remonto darbai (vaikų žaidimo ir sporto aikštelių atnaujoinimas),"UAB ""Kekopolis"", UAB ""Alzeta"", UAB ""Tieksta"""
Grigiškių seniūnija,BVPŽ kodas 45236290-9,106,"2011-07-28 sutartis Nr. A62-72(3.10.21-FN4) UAB ""Aiža""","7,993.81","Vaikų žaidimo aikštelių, suoliukų remontas ir įrengimas","J.Mateikos firma ""Midogė"", UAB ""Aiža"", UAB ""Julsata"""
Grigiškių seniūnija,BVPŽ kodas 45112700-2,107,"2011-05-30 sutartis Nr. A62-39(3.10.21-FN4) UAB ""Grigiškių komunalinis ūkis""",4983.24,Gėlynų įrengimas ir priežiūra,"UAB ""Grigiškių komunalinis ūkis"", UAB ""Aketonas"", UAB ""Landšafto dizainas"""
Pašilaičių seniūnija,BVPŽ kodas 4523690-9,108,"2011-06-20 sutartis Nr. A62-53(3.10.21-FN4) UAB ""Aiža""",13331.06,"Metalinių vaikų žaidimo aikštelių, sporto aikštelių elementų ir suoliukų remonto darbai","UAB ""Aiža"", UAB ""Pažangi statyba< UAB ""Domipa"", UAB ""Vožtuva"", UAB ""Ismonys"", UAB ""Statvilsta"""
Pašilaičių seniūnija,BVPŽ kodas 45236290-9,109,"2011-06-27 sutartis Nr. A62-54(3.10.21-FN4) UAB ""Vožtuva""",19651.6,"Medinių vaikų žaidimo aikštelių, sporto aikštelių elementų ir suoliukų remonto darbai","UAB ""Aiža"", UAB ""Pažangi statyba"", UAB ""Domipa"", UAB ""Vožtuva"", UAB ""Ismonys"", UAB ""Statvilsta"""
"Kultūros, sporto ir turizmo d-to Kūno kultūros ir sporto skyrius",BVPŽ kodas 03121210-0,110,"2011-06-23 PVM sąsk. faktūra Nr. 1803 IĮ 'Versilija"", 2011-07-20 PVM sąsk. faktūra Nr. 1823 IĮ 'Versilija"", 2011-05-31 PVM sąsk. faktūra Nr. 1777 IĮ 'Versilija"", 2011-06-02 PVM sąsk. faktūra Nr. 1780 IĮ 'Versilija"", 2011-09-02 PVM sąsk. faktūra Nr. 1844 IĮ 'Versilija"", 2011-10-14 PVM sąsk. faktūra Nr. 1871 IĮ 'Versilija"", 2011-09-02 PVM sąsk. faktūra Nr. 1844 IĮ 'Versilija"", 2011-12-08 PVM sąsk. faktūra Nr. 1901 IĮ 'Versilija"", 2011-12-14 PVM sąsk. faktūra Nr. 1906 IĮ 'Versilija"", 2011-12-15 PVM sąsk. faktūra Nr. 1907 IĮ 'Versilija"", 2011-12-28 PVM sąsk. faktūra Nr. 1912 IĮ 'Versilija"", 2011-11-21 PVM sąsk. faktūra Nr. 1888 IĮ 'Versilija"", 2011-11-21 PVM sąsk. faktūra Nr. 1889 IĮ 'Versilija"", 2011-12-06 PVM sąsk. faktūra Nr. 1895 IĮ 'Versilija"",  ",1348,Gėlės,"UAB ""Floritas"", IĮ ""Versilija"", UAB ""Interjeras ir gėlės"""
"Kultūros, sporto ir turizmo d-to Kūno kultūros ir sporto skyrius",17 paslaugų kategorija BVPŽ kodas 55300000-3,111,,5000,Svečių aptarnavimo paslaugos Savivaldybės administraciniame pastate,"UAB ""PATYS"""
Pašilaičių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,112,"2011-05-26 sutartis Nr.A64-48(3.10.22-FN) UAB ""Vėjų fėja""",4950,"Pašilaičių bendruomenės šventė ""Pašilaičių pavasaris 2011""","Aikido Aikido asociacija ""Aidas"", VšĮ ""Laisvalaikio klubas"", UAB ""Vėjų fėja"""
"Kultūros, sporto ir turizmo d-to Kultūros ir meno skyrius",26 paslaugų kategorija BVPŽ kodas 92312230-2,113,2011-05-10 sutartis Nr. A72-1002(3.10.21-KL) Jonas Gencevičius,8000,Atminimo lentos Česlovui Milošui sukūrimas ir įrengimas,"Jonas Gencevičius, Kęstutis Musteikis, Gintaras Mykolaitis"
Fabijoniškių seniūnija,BVPŽ kodas 45233200-1,114,"2011-06-07 sutartis Nr. A62-44(3.10.21-FN4) UAB ""Stebulė",19900.01,"Smulkus šaligatvių, laiptų ir kitų kietų dangų remontas","UAB ""Stebulė"", UAB ""Fabeta"", UAB ""Srėdė"" ir Ko"
Fabijoniškių seniūnija,BVPŽ kodas 45236290-9,115,"2011-06-10 SUTARTIS Nr. A62-47(3.10.21-FN4) UAB ""Srėdė"" ir Ko",19900.01,"Vaikų žaidimo aikštelių, sporto aikštelių ir suolų remontas","UAB ""Stebulė"", UAB ""Fabeta"", UAB ""Srėdė"" ir Ko"
Naujamiesčio seniūnija,BVPŽ kodas 45236290-9,116,"2011-06-15 sutartis Nr. A62-51(3.10.21-FN4) UAB ""Eurorenovacijos""",20000,"Naujamiesčio seniūnijos vaikų žaidimo ir sporto aikštelių, suoliuų remonto darbai","UAB ""Eurorenovacijos"", UAB ""Amiresta"", UAB ""Nerista"""
Naujamiesčio seniūnija,BVPŽ kodas 45233200-1,117,"2011-06-30 sutartis Nr. A62-63(3.10.21-FN4) UAB ""Grinda""",20000,Naujamiesčio seniūnijos šaligatvių dangos remonto darbai,"UAB ""Stebulė"", UAB ""Kerista"", UAB ""Grinda"""
Grigiškių seniūnija,BVPŽ kodas 18530000-3,118,"2011-05-17 sutartis Nr. A68-7(3.10.23-FN4) L.Šurpickajos įm. ""Baltoji orchidėja""",1995,Suvenyrai ir dovanos,"L. Šurpickajos IĮ ""Baltoji orchidėja"", V.Arlauskienės IĮ ""Mažoji Karolina"", UAB ""Mylida ir Ko"""
Šeškinės seniūnija,26 paslaugų kategorija BVPŽ kodas 9230000-4,119,"2011-06-09 sutartis Nr. A64-60(3.10.22-FN4) VšĮ ""Mes-jėga""",9985,Šeškinės bendruomenės renginių organizavimas,"VšĮ ""Mes-jėga"", įmonė ""Tamsta"", UAB ""VAITAITAU"""
Šeškinės seniūnija,BVPŽ kodas 45236290-9,120,"2011-08-09 sutartis Nr. A62-85(3.10.21-FN4) UAB ""Stebulė""",19999.61,"Medinių, metalinių vaikų žaidimo bei sporto aikštelių ir suoliukų remonto darbai","UAB ""Vilniau Zunda"", UAB ""Trajana"", UAB ""Stebulė"""
Šeškinės seniūnija,BVPŽ kodas 45233200-1,121,"2011-08-09 sutartis Nr. A62-84(3.10.21-FN4) UAB ""Stebulė""",19999.92,"Smulkus šaligatvių, kietų dangų ir laiptų remontas","UAB ""Vilniaus Zunda"", UAB ""Trajana"", UAB ""Stebulė"""
Viršuliškių seniūnija,BVPŽ kodas 45236290-9,122,"2011.08.08 sutartis Nr. A62-93(3.10.21-FN4) UAB ""Stebulė""",19200.75,"Esamų vaikų žaidimo ir sporto aikštelių remontas bei naujų įrengimas, sezoninės prekyvietės įrangos remontas","UAB ""Kaštas"", UAB ""Genflora"", UAB ""Stebulė"""
"Kultūros, sporto ir turizmo d-to Kūno kultūros ir sporto skyrius",BVPŽ kodas 18530000-3,123,"2011-07-11 sutartis Nr. A68-14(3.10.23-KS) UAB ""Desata""",4500,Apdovanojimai,"UAB ""Biuro pasaulis"", UAB ""ROMVITA"", UAB ""Desata"", UAB ""Milydos"" reklama, UAB ""Reavita"""
"Kultūros, sporto ir turizmo d-to Kūno kultūros ir sporto skyrius",BVPŽ kodas 18530000-3,124,"2011-07-11 sutartis Nr. A68-13(3.10.23-KS) UAB ""Mylidos"" reklama",3400,Suvenyrai,"UAB ""Biuro pasaulis"", UAB ""ROMVITA"", UAB ""Desata"", UAB ""Milydos"" reklama, UAB ""Reavita"""
"Kultūros, sporto ir turizmo d-to Kūno kultūros ir sporto skyrius",BVPŽ kodas 18530000-3,125,"2011-07-11 sutartis Nr. A68-12(3.10.23-KS) UAB ""Mylidos"" reklama",2000,Medaliai,"UAB ""Biuro pasaulis"", UAB ""ROMVITA"", UAB ""Desata"", UAB ""Milydos"" reklama, UAB ""Reavita"""
Verkių seniūnija,BVPŽ kodas 45331000-6,126,"2011-05-13 sutartis Nr. A62-30(3.10.21-FN)4) UAB ""Vilpra""",19840.66,"Verkių seniūnijos patalpų kondicionavimo sistemos įrengimo, šildymo sistemos ir elektros skydinės remonto darbai","UAB ""Anaga"", UAB ""Vilpra"", UAB ""Prometėjo inžinerija"""
Viršuliškių seniūnija,BVPž kodas 45262640-9,127,"2011-08-19 sutartis Nr. A62-95(3.10.21-FN4) UAB ""Stebulė""",19868.68,"Takų, įvažiavimų ir kitų kietų dangų, laiptų, šaligatvių ir suolų remonto darbai","UAB ""Trajana"", UAB ""Genflora"", UAB ""Stebulė"""
Justiniškių seniūnija,BVPŽ kodas 45236290-9,128,"2011-06-14 A64-48(3.10.21-FN4) UAB ""Eurorenovacijos"". Sutarties nutraukimas 2011-10-10 Nr.A62-108(3.10.21-FN4). ",19999,"Medinių ir metalinių vaikų žaidimo aikštelių, sporto aikštelių ir suoliukų remonto darbai","UAB ""Eurorenovacijos"", UAB ""Srėdė ir ko"", UAB ""StatVista"", UAB ""Faktumas"""
Bendrųjų reikalų d-tas,6 paslaugų kategorija BVPŽ kpdas 66514100-7,129,2011-05-11 PVM sąskaitos faktūros,2975,Su transportu susijęs draudimas,"UAB ""Lietuvos draudimas"", UADB ""ERGO Lietuva"", UAB DK ""PZU Lietuva"""
Komunalinio ūkio d-tas ,BVPŽ kodas 45236290-9,130,"2011-05-18 sutartis Nr. A62-33(3.10.21-UK0 UAB ""Sonetas ir KO""",19965,Naujosios Vilnios geležinkelio stoties memorialo sutvarkymas,"UAB ""Blyksnis"", UAB ""Dzūkijos granitas"", UAB ""Sonetas ir Ko"""
Žirmūnų seniūnija,BVPŽ kodas 45233200-1,131,"2011-06-03 A62-43(3.10.21-FN4) UAB ""Stebulė""",19999,Smulkūs šaligatvių ir kitų kietų dangų ir laiptų remonto darbai,"UAB ""Trajana"", UAB ""Vilniaus Zunda"", UAB ""Stebulė"""
Žirmūnų seniūnija,BVPŽ kodas 45236290-9,132,"2011-05-31 sutartis Nr. A62-40(3.10.21-FN4) UAB ""StatVilsta""",19999,"Medinių ir metalinių vaikų žaidimo aikštelių, sporto aikštelių ir suoliukų remonto darbai","UAB ""Statvilsta"", UAB ""Žirmuva"", UAB ""Ostas"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,133,2011-05-06 PVM sąskaitą faktūra Nr. 0110631,880,"Seminaras ""Administracinių teisės pažeidimų protokolų surašymas""",Finansų ministerijos mokymo centras 
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,134,Pirkimo procedūros neįvyko,,"Seminaras ""Tarnybinis protokolas""",
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,135,"2011-05-19 PVM sąskaita faktūra Nr. 8650 UAB ""Ekspozona""",2032.8,"Seminaras ""Asmens duomenų aosauga: aktualijos, problemos, perspektyvos""","UAB ""Ekspozona"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,136,"2011-05-26 PVM sąskaita faktūra Nr. 8694 UAB ""Ekspozona""",798.6,"Seminaras ""Statybos produktų sertifikavimas""","UAB ""Ekspozona"""
Verkių seniūnija,26 paslaugų kategorija BVPž kodas 9230000-4,137,"2011-05-19 sutartis Nr. A64-45(.10.22-FN4) VO ""Balsių bendruomenė""",2420,Verkių seniūnijos bendruomenės šventės organizavimo paslaugos,"Asociacija ""Baltupių savivaldos centras Cedronas"", VO ""Balsių bendruomenė, Labdaros ir paramos fondas ""AMUS"""
Verkių seniūnija,26 paslaugų kategorija BVPŽ kodas 92312200-3,138,"2011-05-27 sutartis Nr. A64-49(3.10.22-FN40 Asociacija ""Baltupių savivaldos centras Cedronas""",2400.00,Verkių seniūnijos vaikų užimtumo renginių organizavimo paslaugos ,"Asociacija ""Baltupių savivaldos centras Cedronas"", Asociacija ""Balsių bendruomenė"", Labdaros ir paramos fondas ""AMUS"""
Verkių seniūnija,26 paslaugų kategorija BVPŽ kodas 92622000-7,139,"2011-05-19 sutartis Nr. A64-44(3.10.22-FN4) VšĮ Futbolo klubas ""Viltis""",1974,Verkių seniūnijos sporto renginių organizavimo paslaugos,"Asociacija ""Baltupių savivaldos centras Cedronas"", VO ""Balsių bendruomenė, VšĮ Futbolo klubas ""Viltis"""
Justiniškių seniūnija,BVPŽ kodas 45233200-1,140,"2011-06-07 sutartis Nr. A62-44(3.10.21-FN4) UAB ""Stebulė",19999,Smulkus šaligatvių ir kitų kietų dangų ir laiptų remonto darbai,"UAB ""Statybų techninai sprendimai"", UAB ""Gatvių statyba"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45236119-7,141,"2011-06-30 sutartis Nr. A62-60(3.10.21-FN4) UAB ""Stebulė""",9994.6,Sporto aikštelių įrenginių ir dangos remonto darbai,"UAB ""Genflora"", UAB ""Lentvario komunalinis ūkis"", UAB ""Stebulė"""
Naujininkų seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,142,2011-08-29 sutartis Nr. A64-107(3.10.22-FN4) Viktotas Prapas,7900,"Renginių techninio aprūpinimo paslaugos (scenų, suolų įrengimas)","UAB ""Vilniaus parkai"", UAB ""Muzikos turas"", A.Raškausko personali firma ""Sporto reklama"", Viktoras Prapas, VšĮ ""Džiazo galerija"""
Naujininkų seniūnija,1 paslaugų kategorija BVPŽ kodas 51213000-9,143,2011-08-29 sutartis Nr. A64-106(3.10.22-FN4) Viktoras Prapas,2490,Trijų šventinių renginių įgarsinimo paslaugos,"UAB ""Vilniaus parkai"", UAB ""Muzikos turas"", A. Raškausko personali firma ""Sporto reklama"", Viktoras Prapas, VšĮ ""Džiazo galerija"""
Naujininkų seniūnija,BVPŽ kodas 45233200-1,144,"2011-06-30 sutartis Nr. A62-61(3.10.21-FN4) UAB ""Grinda""","17,593.40","Asfalto/ betono šaligatvių, laiptų remonto darbai","AB ""Eurovia Lietuva"", UAB ""Grinda"", UAB ""Kerista""`"
Naujininkų seniūnija,BVPŽ kodas 45236290-9,145,"2011-06-30 sutartis Nr. A62-59(3.10.21-FN4) UAB ""Stebulė",7489.9,"Vaikų žaidimo aikštelių, suoliukų remonto darbai","UAB ""Genflora"", UAB ""Lentvario komunalinis ūkis"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45233253-7,146,"2011-06-30 sutartis Nr. A62-58(3.10.21-FN4) UAB ""Stebulė",6497.7,"Pėsčiųjų takų, dengtų skalda ir kita kieta danga, remonto darbai","AB ""Eurovia Lietuva"", UAB ""Stebulė"", UAB ""Grinda"", UAB ""Kerista"""
Komunalinio ūkio d-tas,BVPŽ kodas 45112711-2,147,"2011-07-28 sutartis Nr. A62-94(3.10.21-UK) UAB ""BSS grupė""",49960.3,Laiptų į Bekešo kalną Kalnų parke remontas,"UAB ""Toris"", UAB ""Faktumas"", UAB ""BSS grupė"""
Žvėryno seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,148,"2011-06-10 sutartis Nr.A64-61(3.10.22-FN4) UAB ""Avarija""",2997.74,Žvėryno bendruomenės Jonininių šventės organizavimas,"UAB ""Vigbada"", UAB ""Avarija"", UAB ""Naujamiesčio būstas"""
Komunalinio ūkio d-to Miesto tvarkymo skyrius,BVPŽ kodas 45112700-2,149,"2011-05-25 sutartis Nr.A62-36(3.10.21-UK) UAB ""Stebulė""",9998.27,Masinių žudynių kapavietės Titnago g. sutvarkymas,"UAB ""Jūsų sodui"", UAB ""Stebulė"", UAB ""Grinda"""
Naujininkų seniūnija,BVPŽ kodas 45213142-0,150,"2011-06-30 sutartis Nr. A62-57(3.10.21-FN4) AB ""Montuotojas""",14979.8,Viešųjų prekystalių po atviru dangumi demontavimo/ montavimo ir rekonstravimo darbai,"UAB ""Žvanga"", AB ""Montuotojas"", UAB ""Kovas"""
Naujosios Vilnios seniūnija,BVPŽ kodas 18530000-3,151,"2011-05-20 PVM sąskaita faktūra Nr. PS00612 UAB ""Sportturas""",499,Sporto renginiui skirtos prekės apdovanojimams,"UAB ""Sportturas"", UAB ""Rilis"", UAB ""Skorpiono takas"""
Naujosios Vilnios seniūnija,BVPŽ kodas 45332200-5,152,"2011-06-16 sutartis Nr. A62-52(3.10.21-FN4) UAB ""Priemiestis""",2917.46,Vandentiekio sistemos slėgio ribotuvo įrengimo darbai,"UAB ""Priemiestis"", UAB ""Sorentus projektai"", UAB ""Valsva ir Ko"""
Naujosios Vilnios seniūnija,BVPŽ kodas 45233200-1,153,"2011-10-18 sutartis Nr, A62-110(3.10.21-FN4) UAB ""Gedulis""",17572.58,"Takų ir kitų dangų, laiptų, suoliukų, šaligatvių įrengimo ir remonto darbai","UAB ""Salgesta"", UAB ""Gedulis"", UAB ""Languvita"""
Lazdynų seniūnija,27 paslaugų kategorija BVPŽ kodas 7995200-2,154,"2011-06-09 sutartis Nr. A64-62(3.10.22-FN4) UAB ""Vikšris""",6980.6,Renginio techninis aprūpinimas ir įgarsinimas,"Lazdynų bendruomenės savivaldija, UAB ""Vikdagis"", Asociacija ""Šventė visiems"", UAB ""Vikšris"""
Žvėryno seniūnija,BVPŽ kodas 45236290-9,155,"2011-08-08 sutartis Nr. A62-77(3.10.21-FN4) UAB ""Aiža""",18131.56,"Medinių ir metalinių vaikų žaidimo aikštelių, sporto aikštelių ir suoliukų remonto darbai","UAB ""Aiža"", UAB ""Stebulė"", UAB ""Statvilsta"""
Naujamiesčio seniūnija,1 palaugų kategorija BVPŽ kodas 50700000-2,156,"2011-06-15 sutartis Nr. A64-67(3.10.22-FN4) UAB ""Naujamiesčio būstas""",4854.81,Naujamiesčio seniūnijos naudojamų patalpų administravimo paslaugos,"UAB ""Naujamiesčio būstas"""
Žirmūnų seniūnija,1 palaugų kategorija BVPŽ kodas 50700000-2,157,"2011.06.03 sutartis Nr. A64-53(3.10.22-FN4) UAB ""Eurorenovacijos""",9987.34,Remonto ir priežiūros paslaugos susijusios su pastatais,"UAB ""Amiresta"", UAB ""Conresta"", UAB ""Eurorenovacijos"""
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,158,2011-05-20 sąskaita Nr. 0040,780,"Seminaras ""Vidaus auditorių profesinių gebėjimų tobulinimas""",Valstybės ir savivaldybių vidaus auditorių asociacija
Personalo skyrius,24 paslaugų kategorija BVPŽ kodas 80522000-9,159,2011-05-16 PVM sąskaita faktūra Nr. 006549,1460,Seminaras Vaikų teisių apsaugos tarnybų darbuotojams,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava"""
Fabijoniškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,160,"2011-06-06 sutartis Nr. A64-55 (3.10.22-FN4) UAB ""Balsiukai""",4995,Fabijoniškių bendruomenės Joninių šventė,"VšĮ ""Mes-jėga"", įmonė ""Fabeta"", UAB ""Balsiukai"""
Žirmūnų seniūnija,26 paslaugų kategorija BVPŽ kodas 92312200-3,161,"2011-06-14 sutartis Nr. A64-66(3.10.22-FN4) UAB ""Stebulė""",3609.67,Joninių šventės organizavimas,"UAB ""Stebulė"", Ansamblis ""Vilniaus gija"", UAB ""Vilniaus Zunda"""
Pilaitės seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,162,"2011-06-15 sutartis Nr. A64-68(3.10.22-FN4) VšĮ ""Tvarios raidos inovacijų pilietinis forumas""",2850,Joninių šventės organizavimas,"VšĮ ""Tvarios raidos inovacijų pilietinis forumas"", VšĮ ""Keistos pramogos"", VšĮ ""Projektų parkas"""
Komunalinio ūkio d-tas ,BVPŽ kodas 45262640-9,163,"2011-06-01 sutartis Nr. A62-41(3.10.21-UK) UAB ""Stebulė""",42100.28,"Kalnų parko parengimas studentų dainų šventei ""Gaudeamus""","UAB ""Stebulė"""
Panerių seniūnija,BVPŽ kodas 45236290-9,164,"2011-08-09 sutartis NR. A62-86(3.10.21-FN4) UAB ""Vokės tecnika""",19999,"Takų ir kitų dangų, šaligatvių, trinkelių laiptų įrengimo, remonto darbai. Sporto ir vaikų žaidimų aikštelių remontas ir priežiūra, suoliukų remontas. Teritorijos tvarkymas, priežiūra ir atnaujinimas","UAB ""Gevalda"", UAB ""Eurorenovacijos, UAB ""Vokės technika"""
