Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Lazdynų seniūnija,27 paslaugų kategorija BVPŽ kodas 7995000-2,277,2011-11-30 sutartis Nr. A64-146 (3.10.22-FN4) Lazdynų bendruomenės savivaldija,3000,Kalėdinio renginio techninis aprūpinimas ir įgarsinimas,"Vilniaus m. Lazdynų bendruomenės savivaldija, UAB ""Jutomus"", UAB ""Vikšris"""
Personalo d-tas,24 paslaugų kategorija BVPŽ kodas 80522000-9,278,"2011-10-27 PVM sąskaita faktūra Nr. 2488 VšĮ ""Profesijos tobulinimo centras""","1,449.00","Seminaras ""Civilinio proceso naujovės, keičiančios buvusius įprastus CPK reikalavimus""","VšĮ ""Profesijos tobulinimo centras"""
Žvėryno seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,279,"2011.12.01 sutartis Nr. A64-147 (3.10.22-FN4) UAB ""Grinda""",6733.65,Žvėryno bendruomenės Kalėdų šventės organizavimas,"UAB ""Vigbada"", UAB ""Šnipiškių ūkis"", UAB ""Grinda"""
Antakalnio seniūnija,BVPŽ kodas 45233200-1,280,anuliuotas,,"Šaligatvių ir kitų kietų dangų remontas, teritorijoje esančių laiptų remontas",
E.Miesto d-tas,BVPŽ kodas 31511000-1,281,"2011-11-29 sutartis Nr. A68-22(3.10.23-FN4) UAB ""Konferenta""",2261.49,Projektoriaus lempų pirkimas,"UAB ""Konferenta"", UAB ""Konferencijų ir audiovizualinės sistemos"", UAB 'D.E. Solutions"""
Personalo d-tas,24 paslaugų kategorija BVPŽ kodas 80522000-9,282,"2011-11-08 PVM sąskaita faktūra Nr. 9152 UAB ""EXPOZONA""","1,524.60","Seminaras ""Viešojo sektoriaus konsoliduotų finansinių ataskaitų rinkinys ir investicijos į kontroliuojamus subjektus'"," UAB ""EXPOZONA"""
"Švietimo, kultūros ir sporto departamentas Kultūros skyrius",BVPŽ kodas 22200000-2,283,"2011-10-14 PVM sąsk faktūra Nr. 610 UAB 'Kultūros barai"", 2011-10-17 PVM sąsk faktūra Nr. 003084 UAB 'POLILOGAS"", 2011-10-14 PVM sąsk faktūra Nr. 11166386 UAB 'Verslo žinios"", 2011-10-18 Išankstinė sąsk faktūra Nr. IS18520040000194 AB 'Lietuvos paštas"",2011-10-18 Išankstinė sąsk faktūra Nr. IS18520030001829 AB 'Lietuvos paštas""",9695.47,Periodiniai leidiniai ir žurnalai,"UAB 'Kultūros barai"", UAB 'POLILOGAS"", UAB 'Verslo žinios"", AB 'Lietuvos paštas"" Penkiom pirkimo dalim buvo 4 laimėtojai"
Personalo d-tas,10 paslaugų kategorija BVPŽ kodas 79311000-7,284,"2011-11-16 sutartis Nr.A64-140(3.10.22-FN4) UAB ""Spinter tyrimai""",10000,VMS gyventojų apklausa apie seniūnijų veiklos efektyvumą,"UAB Rinkos tyrimų centras, UAB ""Spinter tyrimai"", Visuomenės nuomonės ir rinkos tyrimų centras ""Vilmorus"""
E.miesto d-tas,26 paslaugų kategorija BVPŽ kodas 92312210-6,285,anuliuotas,,Skaitmeninės nuotraukos,
E.miesto d-tas,15 paslaugų kategorija BVPŽ kodas 79822500-7,286,"Nepradėtas pirkimas,gautas tarnybinis raštas",,Elektroninės kortelės dizaino pirkimas,
Finansų d-tas,6 paslaugų kategorija BVPŽ kodas 66110000,287,,7200,VMSA biudžetinių sąskaitų atidarymas,"AB DNB bankas, AB SEB bankas, AB Šiaulių bankas, AB ""UniCredit Bank"", AB Ūkio bankas, Nordea Bank Finland Plc"
Aprūpinimo ir transporto skyrius,14 paslaugų katgorija BVPŽ kodas 90914000-7,288,"2011-12-05 sutartis Nr. A64-150 (3.10.22-FN4) UAB ""Dussmann Service""",4601,"Savivaldybės administracinio pastato, Konstitucijos pr. 3, požeminio garažo valymo paslaugos","UAB ""Ainava"", UAB ""Dussmann Service"", IĮ ""Irmas"", UAB ""Top Clean'"
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421100-5,289,"2011-12-07 sutartis Nr. A-62-136 (3.10.21-FN4) UAB ""Aluminium group""",17685,"Savivaldybės administarcinio pastato varčių reguliavimas, remontas, keičiant jų detales, bei priežiūra ","UAB ""Hronas"", UAB ""Fauga"", UAB ""ASF"", UAB ""Staticus"", UAB ""Jovireta"", UAB ""Aluminiumgroup"", UAB ""Petroleum group"""
Verkių seniūnija,BVPŽ kodas 45341000-9,290,"2011.11.22 sutartis Nr. A62-130 (3.10.21-FN-4) UAB ""Vilniaus zunda""",3996.63,Verkių seniūnijos bendrojo naudojimo laiptų turėklų montavimo darbai,"UAB ""Vilniaus zunda"", UAB ""Stebulė"", UAB ""Trajana"""
Rasų seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,291,"2011-12-14 sutartis Nr. A64-158 (3.10.22-FN4) VšĮ ""Mes Jėga""",9800,Rasų seniūnijos šv. Kalėdų renginio techninis aprūpinimas ir apšvietimas,"VšĮ ""Mes-jėga"", APĮ ""Tamsta"", VšĮ ""Šėlsmo diena"""
E.Miesto d-tas,27 paslaugų kategorija BVPŽ kodas 79961100-9,292,"2011.12.05 sutartis Nr.A64-148 (3.10.22-FN4) UAB ""Baltijos Fotografijos linija""",6000,Autorinės skaitmeninės nuotraukos,"VšĮ Lietuvos spaudos fotografų klubas, UAB ""Ciklopas', UAB ""Baltijos fotografijos linija"""
Saugaus miesto d-tas,6 paslaugų kategorija BVPŽ 66500000-8,293,,10000,"Gyvybės draudimo, draudimo nuo nelaimingų atsitikimų ir sveikatos draudimo paslaugos","UAB DK ""PZU Lietuva"", AAS 'Gjensidige Baltic"", If P&C Insurance AS"
Personalo d-tas,24 paslaugų kategorija BVPŽ kodas 80522000-9,294,"2011-11-17 PVM sąskaita faktūra Nr.0512 UAB ""LINGUA LITUANICA""",300.00,Praktinai lietuvių kalbos redagavimo kursai,"UAB ""LINGUA LITUANICA"""
Antakalnio seniūnija,BVPŽ kodas 45233200-1,295,"2011.11.30 sutartis Nr. A62-132 (3.10.21-FN4) UAB ""Keldarista""",8700,"Šaligatvių ir kitų kietų dangų remontas, teritorijije esančių laiptų remontas","UAB ""Keldarista"", UAB ""Sostinės gatvės"""
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45312100-6,296,"2011-12-13 sutartis Nr. A62-139 (3.10.21-UK) UAB ""Švenčių studija""",57000,Šventinis televizijos bokšto papuošimas Šv. Kalėdų ir Naujųjų metų švenčių proga,"UAB ""Švenčių studija"", VšĮ ""Oreivystės centras"", VšĮ ""Vizualinių komunikacijų studija"""
Personalo d-tas,24 paslaugų kategorija BVPŽ kodas 80522000-9,297,"2011-11-22 PVM sąskaita faktūra Nr. 9189 UAB ""EXPOZONA""",784.04,"Seminaras ""Mokamų paslaugų teikimo ir pacientų sveikatai padarytos žalos nustatymo ypatumai, aktualijos ir problematika sveikatos priežiūros įstaigose","UAB ""EXPOZONA"""
E.Miesto d-tas,BVPŽ kodas 30213200-7,298,"2011.12.05 sutartis Nr.A68-24 (3.10.23-FN4) UAB ""Desktop Publishing Computers",2348,Planšetinio kompiuterio pirkimas,"UAB ""Desktop Publishing Computers"", UAB ""Avitelos prekyba"", UAB 'Topo centro prekyba"""
Grigiškių seniūnija,BVPŽ kodas 44114200-4,299,"2011-12-12 sutartis Nr. A68-27 (3.10.23-FN4) UAB ""Betono statiniai""",6259.94,Betono gaminiai; gėlinių ir šiukšliadėžių pirkimas su pastatymu,"UAB ""Betono statiniai"", UAB ""Sostinės gatvės"", UAB ""Refakta"""
Karoliniškių seniūnija,BVPŽ kodas 45236290-9,300,"2011-12-20 sutartis Nr. A62-140 (3.10.21-FN4) UAB ""Aiža""",879.99,Suoliukų remonto darbai Karoliniškių seniūnijoje,"UAB ""Aiža"", J.Mateikos firma ""Midogė"", UAB ""Julsata"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 31518600-6,301,2011-12-12 sutartis Nr. A68-26 (3.10.23-FN4) L.Lukoševičienės IĮ,9191.64,Prožektoriai ir jų dėklai,"UAB 'Valrima"", UAB ""Baltijos arsenalas"", L.Lukoševičienės IĮ, UAB ""TUMA"", UAB 'Oksalis"", UAB ""Saugima"", UAB ""Vilniaus ginklai"", UAB ""Jagtekas"""
